organisatie;org_afk;soort;onderwerp;jaar;maand;maand_nr;aantal
Ministerie van BZK;BZK;Ministerie;zv%> 1 jaar;2018;apr;4;0,26051459271810706
Ministerie van BZK;BZK;Ministerie;zv% 1-7;2018;mei;5;0,42791995308821423
Ministerie van BZK;BZK;Ministerie;zv% 8-42;2018;mei;5;0,88444539525333998
Ministerie van BZK;BZK;Ministerie;zv% 43-365;2018;mei;5;3,48112037315488498
Ministerie van BZK;BZK;Ministerie;zv%> 1 jaar;2018;mei;5;0,31489553233223838
Ministerie van BZK;BZK;Ministerie;zv% 1-7;2018;jun;6;0,59805370437404770
Ministerie van BZK;BZK;Ministerie;zv% 8-42;2018;jun;6;1,10311163690802116
Ministerie van BZK;BZK;Ministerie;zv% 43-365;2018;jun;6;3,15139117447573147
Ministerie van BZK;BZK;Ministerie;zv%> 1 jaar;2018;jun;6;0,34454256401569533
Ministerie van BZK;BZK;Ministerie;zv% 1-7;2018;jul;7;0,48169755676154158
Ministerie van BZK;BZK;Ministerie;zv% 8-42;2018;jul;7;1,03859932064826932
Ministerie van BZK;BZK;Ministerie;zv% 43-365;2018;jul;7;3,25673352998428678
Ministerie van BZK;BZK;Ministerie;zv%> 1 jaar;2018;jul;7;0,38459236289384868
Ministerie van BZK;BZK;Ministerie;zv% 1-7;2018;aug;8;0,45207567437475144
Ministerie van BZK;BZK;Ministerie;zv% 8-42;2018;aug;8;0,87931584114625527
Ministerie van BZK;BZK;Ministerie;zv% 43-365;2018;aug;8;3,29655482099115060
Ministerie van BZK;BZK;Ministerie;zv%> 1 jaar;2018;aug;8;0,42860501300292203
Ministerie van BZK;BZK;Ministerie;zv% 1-7;2018;sep;9;0,78014400215760504
Ministerie van BZK;BZK;Ministerie;zv% 8-42;2018;sep;9;1,14362786423468354
Ministerie van BZK;BZK;Ministerie;zv% 43-365;2018;sep;9;3,08901133912270831
Ministerie van BZK;BZK;Ministerie;zv%> 1 jaar;2018;sep;9;0,44196052156048093
Ministerie van BZK;BZK;Ministerie;zv% 1-7;2018;okt;10;0,85443269507759756
Ministerie van BZK;BZK;Ministerie;zv% 8-42;2018;okt;10;1,08884825008457398
Ministerie van BZK;BZK;Ministerie;zv% 43-365;2018;okt;10;3,16475186876916537
Ministerie van BZK;BZK;Ministerie;zv%> 1 jaar;2018;okt;10;0,56412903910755052
Ministerie van BZK;BZK;Ministerie;zv% 1-7;2018;nov;11;0,97849858118983879
Ministerie van BZK;BZK;Ministerie;zv% 8-42;2018;nov;11;1,22742463731002949
Ministerie van BZK;BZK;Ministerie;zv% 43-365;2018;nov;11;3,07359212253175240
Ministerie van BZK;BZK;Ministerie;zv%> 1 jaar;2018;nov;11;0,69494644358650803
Ministerie van BZK;BZK;Ministerie;zv% 1-7;2018;dec;12;0,65976275780274174
Ministerie van BZK;BZK;Ministerie;zv% 8-42;2018;dec;12;1,21312943556728259
Ministerie van BZK;BZK;Ministerie;zv% 43-365;2018;dec;12;2,99045044362916457
Ministerie van BZK;BZK;Ministerie;zv%> 1 jaar;2018;dec;12;0,73850231859493598
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;jan;1;1,61585961166057301
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;jan;1;1,35595451996782645
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;jan;1;1,62163687271932533
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;jan;1;0,24684579460179892
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;feb;2;1,96437049526887231
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;feb;2;2,16703821438270650
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;feb;2;1,82196775057002136
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;feb;2;0,24317000212964249
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;mrt;3;1,91631849850593339
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;mrt;3;2,01924583059098861
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;mrt;3;1,43756557125331530
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;mrt;3;0,24333656557708089
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;apr;4;0,94865930968022638
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;apr;4;1,16518879695652333
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;apr;4;1,47637745727302483
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;apr;4;0,23974930151778298
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;mei;5;0,66773508222958178
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;mei;5;0,66963996425084427
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;mei;5;1,47245640625305785
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;mei;5;0,11972053032263395
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;jun;6;0,65153578086835828
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;jun;6;1,38059793619134963
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;jun;6;1,26693448505114636
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;jun;6;0,11958903390106701
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;jul;7;0,64712310868404344
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;jul;7;0,69228021529686457
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;jul;7;1,95631049935209567
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;jul;7;0,12082861886058893
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;aug;8;0,57841224557133242
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;aug;8;0,60574402986458942
Ministerie van AZ;AZ;Ministerie;zv% 43-365;2018;aug;8;2,05528745016766035
Ministerie van AZ;AZ;Ministerie;zv%> 1 jaar;2018;aug;8;0,12334251770897994
Ministerie van AZ;AZ;Ministerie;zv% 1-7;2018;sep;9;1,00587477291106242
Ministerie van AZ;AZ;Ministerie;zv% 8-42;2018;sep;9;0,43453812087741939
