organisatie;org_afk;soort;onderwerp;datum;jaar_mndnr;maand_nr;jaar_wknr;week_nr;aantal
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-16;2018;8;2018;33;6
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-16;2018;8;2018;33;12
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-16;2018;8;2018;33;11
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-16;2018;8;2018;33;19
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-16;2018;8;2018;33;70
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-16;2018;8;2018;33;18
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-16;2018;8;2018;33;6
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-17;2018;8;2018;33;7
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-17;2018;8;2018;33;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-17;2018;8;2018;33;62
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-17;2018;8;2018;33;1
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-17;2018;8;2018;33;1
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-17;2018;8;2018;33;3
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-17;2018;8;2018;33;11
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-17;2018;8;2018;33;6
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-17;2018;8;2018;33;18
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-17;2018;8;2018;33;10
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-17;2018;8;2018;33;3
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-18;2018;8;2018;33;0
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-18;2018;8;2018;33;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-18;2018;8;2018;33;9
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-18;2018;8;2018;33;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-18;2018;8;2018;33;0
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-18;2018;8;2018;33;0
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-18;2018;8;2018;33;0
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-18;2018;8;2018;33;0
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-18;2018;8;2018;33;1
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-18;2018;8;2018;33;2
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-18;2018;8;2018;33;0
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-19;2018;8;2018;33;0
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-19;2018;8;2018;33;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-19;2018;8;2018;33;15
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-19;2018;8;2018;33;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-19;2018;8;2018;33;0
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-19;2018;8;2018;33;0
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-19;2018;8;2018;33;0
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-19;2018;8;2018;33;0
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-19;2018;8;2018;33;0
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-19;2018;8;2018;33;2
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-19;2018;8;2018;33;0
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-20;2018;8;2018;34;55
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-20;2018;8;2018;34;1
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-20;2018;8;2018;34;195
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-20;2018;8;2018;34;1
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-20;2018;8;2018;34;16
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-20;2018;8;2018;34;28
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-20;2018;8;2018;34;33
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-20;2018;8;2018;34;54
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-20;2018;8;2018;34;196
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-20;2018;8;2018;34;59
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-20;2018;8;2018;34;10
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-21;2018;8;2018;34;27
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-21;2018;8;2018;34;1
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-21;2018;8;2018;34;137
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-21;2018;8;2018;34;2
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-21;2018;8;2018;34;7
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-21;2018;8;2018;34;17
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-21;2018;8;2018;34;7
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-21;2018;8;2018;34;27
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-21;2018;8;2018;34;115
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-21;2018;8;2018;34;33
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-21;2018;8;2018;34;6
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-22;2018;8;2018;34;11
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-22;2018;8;2018;34;3
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-22;2018;8;2018;34;73
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-22;2018;8;2018;34;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-22;2018;8;2018;34;7
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-22;2018;8;2018;34;8
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-22;2018;8;2018;34;9
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-22;2018;8;2018;34;22
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-22;2018;8;2018;34;73
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-22;2018;8;2018;34;26
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-22;2018;8;2018;34;2
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-23;2018;8;2018;34;25
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-23;2018;8;2018;34;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-23;2018;8;2018;34;99
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-23;2018;8;2018;34;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-23;2018;8;2018;34;6
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-23;2018;8;2018;34;16
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-23;2018;8;2018;34;11
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-23;2018;8;2018;34;24
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-23;2018;8;2018;34;71
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-23;2018;8;2018;34;26
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-23;2018;8;2018;34;9
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-24;2018;8;2018;34;11
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-24;2018;8;2018;34;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-24;2018;8;2018;34;45
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-24;2018;8;2018;34;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-24;2018;8;2018;34;5
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-24;2018;8;2018;34;6
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-24;2018;8;2018;34;6
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-24;2018;8;2018;34;7
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-24;2018;8;2018;34;43
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-24;2018;8;2018;34;11
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-24;2018;8;2018;34;3
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-25;2018;8;2018;34;0
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-25;2018;8;2018;34;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-25;2018;8;2018;34;11
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-25;2018;8;2018;34;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-25;2018;8;2018;34;1
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-25;2018;8;2018;34;0
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-25;2018;8;2018;34;0
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-25;2018;8;2018;34;0
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-25;2018;8;2018;34;4
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-25;2018;8;2018;34;2
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-25;2018;8;2018;34;0
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-26;2018;8;2018;34;0
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-26;2018;8;2018;34;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-26;2018;8;2018;34;8
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-26;2018;8;2018;34;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-26;2018;8;2018;34;0
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-26;2018;8;2018;34;0
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-26;2018;8;2018;34;0
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-26;2018;8;2018;34;0
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-26;2018;8;2018;34;1
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-26;2018;8;2018;34;2
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-26;2018;8;2018;34;0
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-27;2018;8;2018;35;52
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-27;2018;8;2018;35;1
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-27;2018;8;2018;35;252
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-27;2018;8;2018;35;4
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-27;2018;8;2018;35;15
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-27;2018;8;2018;35;31
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-27;2018;8;2018;35;42
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-27;2018;8;2018;35;64
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-27;2018;8;2018;35;211
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-27;2018;8;2018;35;62
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-27;2018;8;2018;35;10
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-28;2018;8;2018;35;29
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-28;2018;8;2018;35;4
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-28;2018;8;2018;35;141
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-28;2018;8;2018;35;4
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-28;2018;8;2018;35;10
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-28;2018;8;2018;35;16
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-28;2018;8;2018;35;22
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-28;2018;8;2018;35;26
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-28;2018;8;2018;35;116
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-28;2018;8;2018;35;48
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-28;2018;8;2018;35;6
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-29;2018;8;2018;35;20
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-29;2018;8;2018;35;2
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-29;2018;8;2018;35;98
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-29;2018;8;2018;35;1
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-29;2018;8;2018;35;7
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-29;2018;8;2018;35;18
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-29;2018;8;2018;35;12
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-29;2018;8;2018;35;20
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-29;2018;8;2018;35;76
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-29;2018;8;2018;35;28
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-29;2018;8;2018;35;3
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-30;2018;8;2018;35;38
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-30;2018;8;2018;35;3
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-30;2018;8;2018;35;127
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-30;2018;8;2018;35;2
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-30;2018;8;2018;35;6
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-30;2018;8;2018;35;16
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-30;2018;8;2018;35;10
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-30;2018;8;2018;35;41
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-30;2018;8;2018;35;72
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-30;2018;8;2018;35;32
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-30;2018;8;2018;35;6
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-08-31;2018;8;2018;35;6
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-08-31;2018;8;2018;35;1
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-08-31;2018;8;2018;35;77
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-08-31;2018;8;2018;35;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-08-31;2018;8;2018;35;4
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-08-31;2018;8;2018;35;5
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-08-31;2018;8;2018;35;7
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-08-31;2018;8;2018;35;13
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-08-31;2018;8;2018;35;36
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-08-31;2018;8;2018;35;18
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-08-31;2018;8;2018;35;1
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-09-01;2018;9;2018;35;0
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-09-01;2018;9;2018;35;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-09-01;2018;9;2018;35;15
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-09-01;2018;9;2018;35;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-09-01;2018;9;2018;35;1
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-09-01;2018;9;2018;35;0
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-09-01;2018;9;2018;35;0
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-09-01;2018;9;2018;35;0
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-09-01;2018;9;2018;35;5
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-09-01;2018;9;2018;35;8
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-09-01;2018;9;2018;35;0
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-09-02;2018;9;2018;35;0
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-09-02;2018;9;2018;35;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-09-02;2018;9;2018;35;13
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-09-02;2018;9;2018;35;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-09-02;2018;9;2018;35;0
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-09-02;2018;9;2018;35;0
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-09-02;2018;9;2018;35;0
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-09-02;2018;9;2018;35;2
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-09-02;2018;9;2018;35;1
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-09-02;2018;9;2018;35;1
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-09-02;2018;9;2018;35;0
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-09-03;2018;9;2018;36;64
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-09-03;2018;9;2018;36;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-09-03;2018;9;2018;36;275
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-09-03;2018;9;2018;36;1
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-09-03;2018;9;2018;36;17
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-09-03;2018;9;2018;36;37
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-09-03;2018;9;2018;36;35
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-09-03;2018;9;2018;36;48
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-09-03;2018;9;2018;36;216
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-09-03;2018;9;2018;36;75
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-09-03;2018;9;2018;36;15
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-09-04;2018;9;2018;36;39
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-09-04;2018;9;2018;36;2
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-09-04;2018;9;2018;36;187
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-09-04;2018;9;2018;36;3
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-09-04;2018;9;2018;36;16
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-09-04;2018;9;2018;36;20
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-09-04;2018;9;2018;36;22
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-09-04;2018;9;2018;36;40
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-09-04;2018;9;2018;36;133
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-09-04;2018;9;2018;36;50
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-09-04;2018;9;2018;36;15
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-09-05;2018;9;2018;36;21
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-09-05;2018;9;2018;36;2
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-09-05;2018;9;2018;36;103
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-09-05;2018;9;2018;36;1
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-09-05;2018;9;2018;36;5
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-09-05;2018;9;2018;36;16
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-09-05;2018;9;2018;36;4
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-09-05;2018;9;2018;36;34
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-09-05;2018;9;2018;36;87
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-09-05;2018;9;2018;36;28
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-09-05;2018;9;2018;36;5
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-09-06;2018;9;2018;36;23
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-09-06;2018;9;2018;36;2
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-09-06;2018;9;2018;36;126
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-09-06;2018;9;2018;36;1
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-09-06;2018;9;2018;36;10
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-09-06;2018;9;2018;36;14
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-09-06;2018;9;2018;36;11
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-09-06;2018;9;2018;36;30
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-09-06;2018;9;2018;36;99
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-09-06;2018;9;2018;36;49
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-09-06;2018;9;2018;36;6
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-09-07;2018;9;2018;36;9
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-09-07;2018;9;2018;36;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-09-07;2018;9;2018;36;61
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-09-07;2018;9;2018;36;2
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-09-07;2018;9;2018;36;5
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-09-07;2018;9;2018;36;10
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-09-07;2018;9;2018;36;14
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-09-07;2018;9;2018;36;14
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-09-07;2018;9;2018;36;44
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-09-07;2018;9;2018;36;20
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-09-07;2018;9;2018;36;5
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-09-08;2018;9;2018;36;1
