organisatie;org_afk;soort;onderwerp;datum;jaar_mndnr;maand_nr;jaar_wknr;week_nr;aantal
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-05;2018;1;2018;1;7
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-05;2018;1;2018;1;3
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-05;2018;1;2018;1;21
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-05;2018;1;2018;1;56
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-05;2018;1;2018;1;17
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-05;2018;1;2018;1;7
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;1
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;33
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;0
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;0
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;0
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;0
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;8
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;6
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-06;2018;1;2018;1;0
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;0
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;0
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;20
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;0
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;0
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;1
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;0
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;0
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;0
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;6
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-07;2018;1;2018;1;2
Ministerie van BZK;BZK;Ministerie;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;119
Ministerie van AZ;AZ;Ministerie;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;5
Concern Justitie en Veiligheid;J&V;Ministerie;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;488
Hoge Colleges van Staat;HCvS;Divers;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;3
Ministerie van Sociale Zaken en Werkgele;SZW;Ministerie;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;48
Ministerie van OCW;OCW;Ministerie;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;66
Ministerie van V.W.S.;VWS;Ministerie;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;62
Ministerie van Economische Zaken en Klim;EZK;Ministerie;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;137
Ministerie van Financien;FIN;Ministerie;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;459
Ministerie van Infrastructuur en Waterst;I&W;Ministerie;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;195
Buitenlandse zaken;BuZa;Ministerie;Aantal ziekmeldingen;2018-01-08;2018;1;2018;2;32
